토픽 번호,주요 키워드
Topic 0,"용소, 계곡, 폭포, 휴양림, 숙소, 플라잉, 고기, 아침, 파크, 포츠, 이동, 수기, 도로, 산막, 테이블, 체험, 물놀이, 오늘, 시설, 주말, 이후, 벌레, 평일, 안쪽, 산책, 예약, 준비, 저녁, 타고, 가을, 도구, 바비큐, 가족, 탑승, 장비, 주차, 출발, 역시, 만원, 식사, 위해, 코스, 수건, 엄마, 안전, 주변, 정자, 이불, 수납, 경사"
Topic 1,"우렁이, 쌈밥, 최대, 산막, 예약, 맛집, 식당, 근처, 휴양림, 식사, 불멍, 주차, 시설, 단풍나무, 포츠, 점심, 맥주, 비둘기, 여름, 화로, 서울, 장작, 짚라인, 쌈장, 한번, 천원, 기억, 수제, 에어컨, 힐링, 접기, 재생, 오늘, 계곡, 소리, 코스, 파크, 필수, 매력, 상추, 예전, 된장, 철거, 마지막, 두부, 된장찌개, 양배추, 볶음, 나물, 가평"
Topic 2,"등산, 계곡, 고개, 등산로, 버스, 휴양림, 무쇠, 말재, 나무, 계단, 바위, 캠핑장, 출발, 터미널, 여름, 코스, 객실, 통과, 관측, 입구, 회귀, 인증, 준비, 산막, 원점, 시설, 갈림길, 설치, 강우, 사용, 용소, 생각, 산행, 얼굴, 레이더, 숙박, 암릉, 주차, 소리, 아래, 길이, 데크, 트레킹, 경기도, 컨디션, 감악산, 물이, 중간, 가장, 지도"
Topic 3,"코스, 무쇠, 말재, 고개, 계단, 산행, 등산, 휴양림, 레이더, 출발, 길이, 오르막, 나무, 능선, 바람, 등산로, 강우, 계속, 다시, 풍경, 관측, 관리, 버스, 겨울, 모습, 멀리, 날씨, 추천, 경사, 하늘, 표지판, 오른쪽, 생각, 내리막, 숲길, 거리, 우측, 주차, 계곡, 봉우리, 바위, 기점, 주변, 왼쪽, 기분, 소양호, 갈수, 주말, 마지막, 정산"
Topic 4,"산막, 소형, 데크, 예약, 계곡, 야영장, 계단, 텐트, 사용, 캠핑, 아침, 생각, 아래, 주차, 시설, 출발, 아주, 일찍, 전기, 야영, 휴양림, 매우, 바람, 샤워실, 선착순, 포츠, 난방, 개수대, 구매, 물이, 이제, 라면, 가격, 다시, 등산, 재생, 저녁, 준비, 별도, 날씨, 처음, 온수, 동이, 입장료, 마음, 복층, 방학, 체험, 잠자리, 휴가"
Topic 5,"여름, 축제, 파크, 맥주, 포츠, 코스, 힐링, 계곡, 가장, 기도, 주소, 테마, 생태, 지금, 추천, 주차, 운영, 인기, 체험, 서울, 여행지, 플라잉, 사찰, 하이디, 농원, 아마, 더욱, 다시, 풍경, 장소, 가족, 날씨, 농촌, 공작산, 직접, 공원, 더위, 입장료, 소요, 카페, 커피, 영귀, 가까이, 재배, 일행, 감상, 음악, 인지, 마음, 공기"
Topic 6,"계곡, 입장료, 데크, 계단, 크게, 휴양림, 야영장, 소리, 산막, 체크, 어른, 관측, 하니, 소양댐, 샤워, 숲속, 아주, 일찍, 산책, 출발, 어린이, 단체, 청소년, 예약, 등산로, 완전, 군민, 기억, 경치, 강우, 레이더, 서울, 산이, 오늘, 날씨, 아래, 능선, 이제, 바람, 선택, 명당, 하루, 이동, 요금, 평상, 보이, 물놀이, 기준, 숲길, 제일"
Topic 7,"계곡, 산행, 여유, 휴양림, 코스, 입구, 서울, 등산, 산막, 샤워, 주변, 동이, 오픈, 해병대, 관측, 컨디션, 등로, 온도, 파라솔, 휴양, 전진, 예약, 참고, 전투, 사실, 관리, 매점, 입실, 그늘, 좌측, 우측, 마음, 매표소, 푸른, 살짝, 숲멍, 식당, 전적, 화촌면, 조절, 오른쪽, 후기, 통과, 숲속의집, 지정, 강우, 최고, 생각, 레이더, 가평"
Topic 8,"산막, 시설, 캠핑, 코스, 소형, 산행, 휴양림, 가장, 계곡, 친구, 산림, 여름, 폭포, 안내, 계단, 관리, 국내, 건강, 압로, 사무소, 체험, 여행지, 예약, 텐트, 봉우리, 물놀이, 개인, 타고, 동이, 휴양, 한번, 국민, 지게, 데크, 차비, 만원, 이제, 휴식, 입장료, 편의, 샤워, 사용, 계속, 야영장, 하루, 짚라인, 추천, 한참, 린지, 소양호"
Topic 9,"코스, 등산, 주차, 최단, 데크, 등산로, 레이더, 무쇠, 말재, 강우, 인증, 계단, 오늘, 휴양림, 블랙, 야크, 관측, 산행, 구간, 제일, 갈림길, 쓰레기, 들머리, 입구, 생각, 고개, 이정표, 용화산, 입장료, 모습, 길이, 왼쪽, 소요, 삼거리, 바위, 검색, 친구, 암벽, 기록, 정보, 열정, 왕복, 차로, 꼭대기, 정비, 감사, 좌측, 거리, 우측, 다리"
